Movie Names,Ratings
1. The Shawshank Redemption19942h 22mA9.3 (2.9M)Rate,9.3 (2.9M)Rate
2. The Godfather19722h 55mA9.2 (2M)Rate,9.2 (2M)Rate
3. The Dark Knight20082h 32mUA9.0 (2.9M)Rate,9.0 (2.9M)Rate
4. The Godfather: Part II19743h 22mA9.0 (1.4M)Rate,9.0 (1.4M)Rate
5. 12 Angry Men19571h 36mU9.0 (869K)Rate,9.0 (869K)Rate
6. Schindler's List19933h 15mA9.0 (1.5M)Rate,9.0 (1.5M)Rate
7. The Lord of the Rings: The Return of the King20033h 21mU9.0 (2M)Rate,9.0 (2M)Rate
8. Pulp Fiction19942h 34mA8.9 (2.2M)Rate,8.9 (2.2M)Rate
9. The Lord of the Rings: The Fellowship of the Ring20012h 58mU8.9 (2M)Rate,8.9 (2M)Rate
"10. Il Buono, Il Brutto, Il Cattivo19662h 41mA8.8 (814K)Rate",8.8 (814K)Rate
11. Forrest Gump19942h 22mUA8.8 (2.3M)Rate,8.8 (2.3M)Rate
12. The Lord of the Rings: The Two Towers20022h 59mUA8.8 (1.8M)Rate,8.8 (1.8M)Rate
13. Fight Club19992h 19mA8.8 (2.3M)Rate,8.8 (2.3M)Rate
14. Inception20102h 28mUA8.8 (2.6M)Rate,8.8 (2.6M)Rate
15. Star Wars: Episode V - The Empire Strikes Back19802h 4mUA8.7 (1.4M)Rate,8.7 (1.4M)Rate
16. The Matrix19992h 16mA8.7 (2.1M)Rate,8.7 (2.1M)Rate
17. GoodFellas19902h 25mA8.7 (1.3M)Rate,8.7 (1.3M)Rate
18. One Flew Over the Cuckoo's Nest19752h 13mA8.7 (1.1M)Rate,8.7 (1.1M)Rate
19. Se7en19952h 7mA8.6 (1.8M)Rate,8.6 (1.8M)Rate
20. Interstellar20142h 49mUA8.7 (2.1M)Rate,8.7 (2.1M)Rate
21. It's a Wonderful Life19462h 10mPG8.6 (501K)Rate,8.6 (501K)Rate
22. Shichinin No Samurai19543h 27mU8.6 (368K)Rate,8.6 (368K)Rate
23. The Silence of the Lambs19911h 58mA8.6 (1.6M)Rate,8.6 (1.6M)Rate
24. Saving Private Ryan19982h 49mA8.6 (1.5M)Rate,8.6 (1.5M)Rate
25. City of God20022h 10mA8.6 (804K)Rate,8.6 (804K)Rate
